teamID;W;L;R;Avg;2B;3B;HR;BB;SO;SB;RA;ERA;CG;SV;HA;HRA;BBA;SOA;E
BAL1996;88;74;949;0.2736860608;299;29;257;645;915;76;903;5.15;13;44;1604;209;597;1047;97
BOS1996;85;77;928;0.2833564976;308;31;209;642;1020;91;921;5;17;37;1606;185;722;1165;135
CAL1996;70;91;762;0.2762926486;256;24;192;527;974;53;943;5.31;12;38;1546;219;662;1052;128
CHA1996;85;77;898;0.2810063785;284;33;195;701;927;105;794;4.53;7;43;1529;174;616;1039;109
CLE1996;99;62;952;0.2930822038;335;23;218;671;844;160;769;4.35;13;46;1530;173;484;1033;124
DET1996;53;109;783;0.2555153707;257;21;204;546;1268;87;1103;6.38;10;22;1699;241;784;957;135
KCA1996;75;86;746;0.2665102851;286;38;123;529;943;195;786;4.55;17;35;1563;176;460;926;111
MIN1996;78;84;877;0.2878547506;332;47;118;576;958;143;900;5.3;13;31;1561;233;581;959;94
ML41996;80;82;894;0.278700106;304;40;178;624;986;101;899;5.17;6;42;1570;213;635;846;134
NYA1996;92;70;871;0.2880241649;293;28;162;632;909;96;787;4.65;6;52;1469;143;610;1139;91
OAK1996;78;84;861;0.265008881;283;21;243;640;1114;58;900;5.2;7;34;1638;205;644;884;102
SEA1996;85;76;993;0.2866972477;343;19;245;670;1052;90;895;5.21;4;34;1562;216;605;1000;110
TEX1996;90;72;928;0.2844615924;323;32;221;660;1041;83;799;4.66;19;43;1569;168;582;976;87
TOR1996;74;88;766;0.2591534203;302;35;177;529;1105;116;809;4.58;19;35;1476;187;610;1033;110
ATL1996;96;66;773;0.2696829355;264;28;197;530;1032;83;648;3.54;14;46;1372;120;451;1245;130
CHN1996;76;86;772;0.2509491954;267;19;175;523;1090;108;771;4.36;10;34;1447;184;546;1027;104
CIN1996;81;81;778;0.2562786434;259;36;191;604;1134;171;773;4.33;6;52;1447;167;591;1089;121
COL1996;83;79;961;0.2874776386;297;37;221;527;1108;201;964;5.6;5;34;1597;198;624;932;149
FLO1996;80;82;688;0.2570025464;240;30;150;553;1122;99;703;3.95;8;41;1386;113;598;1050;111
HOU1996;82;80;753;0.262345679;297;29;129;554;1057;180;792;4.38;13;35;1541;154;539;1163;138
LAN1996;90;72;703;0.2520765619;215;33;150;516;1190;124;652;3.48;6;50;1378;125;534;1212;125
MON1996;88;74;741;0.2617620345;297;27;148;492;1077;108;668;3.78;11;43;1353;152;482;1206;126
NYN1996;71;91;746;0.2696689213;267;47;147;445;1069;97;779;4.22;10;41;1517;159;532;999;157
PHI1996;67;95;650;0.2555010002;249;39;132;536;1092;117;790;4.49;12;42;1463;160;510;1044;115
PIT1996;73;89;776;0.2663724625;319;33;138;510;989;126;833;4.64;5;37;1602;183;479;1044;128
SDN1996;91;71;771;0.2650751547;285;24;147;601;1014;109;682;3.73;5;47;1395;138;506;1194;118
SFN1996;68;94;752;0.2530272908;245;21;153;615;1189;113;862;4.72;9;35;1520;194;570;997;134
SLN1996;88;74;759;0.2668120683;281;31;142;495;1089;149;706;3.98;13;43;1380;173;539;1050;125
ANA1997;84;78;829;0.2720326937;279;25;161;617;953;126;794;4.52;9;39;1506;202;605;1050;126
BAL1997;98;64;812;0.2682664756;264;22;196;586;952;63;681;3.91;8;59;1404;164;563;1139;97
BOS1997;78;84;851;0.2912990832;373;32;185;514;1044;68;857;4.87;7;40;1567;149;610;987;136
CHA1997;80;81;779;0.2728100528;260;28;158;569;901;106;833;4.74;6;52;1505;175;575;961;125
CLE1997;86;75;868;0.2859971202;301;22;220;617;955;118;815;4.73;4;39;1528;181;575;1036;108
DET1997;79;83;784;0.2581645685;268;32;176;578;1164;161;790;4.56;13;42;1476;178;552;982;91
KCA1997;67;94;747;0.2639757099;256;35;158;561;1061;130;820;4.71;11;29;1530;186;531;961;88
